n,grad_frac,curl_frac,curl_energy,order_agreement,ties,min_abs_A,sd_psi,rms_A,cycles,triangles,cycle_frac,mean_m2,sd_m2,sd_logloger,mean_alpha_max,sd_alpha_max,pool,q,replicate
280,0.9969999464758037,0.07740223980767377,0.005991106727244638,0.9906298003072197,0,1.0066690934174005e-06,0.009858296820066463,0.014008726838900306,101,3619560,2.7903944125805348e-05,0.9670807453416149,0.30332376492129254,0.019916226146539234,1.9086515829581523,0.4768550616048572,marginal,23,0
280,0.9971192812130428,0.07584944978827936,0.005753139033184712,0.9921915002560164,0,3.8797288737235647e-07,0.009202090908415055,0.013074687484200787,63,3619560,1.7405430494314225e-05,0.9416419119632731,0.25486589211346383,0.01855330392937483,1.857267673779802,0.4373099790151477,marginal,23,1
280,0.9964901569026838,0.08371001849279823,0.007007367196064622,0.9901433691756273,0,7.498353886692399e-07,0.008720469487169586,0.01239820364458397,126,3619560,3.481086098862845e-05,0.9542398055630569,0.27288199094178267,0.017649122483433827,1.8729062548340822,0.41157754269013525,marginal,23,2
280,0.9984025763222365,0.056500403477504825,0.0031922955931208397,0.9954941116231438,0,5.681557024850292e-08,0.008140845502542059,0.01155196146760902,5,3619560,1.3813833725646212e-06,0.9982041587901701,0.14974168032718724,0.01640983368517153,2.0546116727981047,0.4066597056972814,sigshuffle,23,0
280,0.9981682981961651,0.06049833449089035,0.0036600484761716537,0.994342037890425,0,9.289823992286728e-07,0.007516008083412326,0.010667812597953066,11,3619560,3.0390434196421663e-06,0.9915879017013233,0.14988156118111184,0.015157929881032511,2.015887567330362,0.36757361080623807,sigshuffle,23,1
280,0.9979083426831085,0.0646447182950914,0.004178939603451725,0.9940092165898617,0,2.109557362128811e-07,0.007206050277142997,0.010230539731660911,8,3619560,2.210213396103394e-06,0.9871455576559547,0.15252837447519246,0.014559188280264075,2.0017383749479176,0.35752774291867445,sigshuffle,23,2
280,0.9963419801345108,0.0854555944432069,0.0073026586216418535,0.9891961085509473,0,9.741964435150408e-07,0.00909830679864095,0.01293731223730911,146,3619560,4.0336394478886935e-05,1.0099378881987577,0.28019282406398305,0.018356601198953736,1.9518438544414034,0.43499265667087594,maxmatched,23,0
280,0.9956575774560603,0.09309129096929082,0.008665988454329166,0.9885560675883257,0,6.05322441726841e-07,0.008665877576262103,0.012330890977490102,174,3619560,4.8072141365248815e-05,1.0362273832028084,0.2781926430401304,0.017489573676876362,1.9972702089324093,0.417451493922554,maxmatched,23,1
280,0.9965735520211608,0.08271127741684653,0.0068411554119265465,0.9910138248847926,0,5.537071006145311e-07,0.009236910766515826,0.013131347751519902,105,3619560,2.9009050823857045e-05,1.0287874696192278,0.28543764783586256,0.018639163606440773,1.950354465769567,0.4499821301785611,maxmatched,23,2
280,0.9966248002488327,0.08209145831920987,0.0067390075289745725,0.9872759856630824,0,7.230366581012504e-07,0.007667103023311692,0.010899122171492427,239,3619560,6.603012520858889e-05,0.9783251231527093,0.2722779126456532,0.015460848651756866,2.0074992452212,0.42446254877569556,arithmetic,29,0
280,0.9965664228033269,0.08279713123641759,0.0068553649409805574,0.9893241167434715,0,2.102347473886823e-07,0.007302377161211236,0.010381256495479503,202,3619560,5.5807888251610695e-05,0.9445812807881774,0.23348077822256108,0.014722581281386725,2.0194368026754392,0.40236753166958183,arithmetic,29,1
280,0.9963032841420536,0.08590556447494113,0.007379766007758267,0.9864823348694316,0,1.3351379335446723e-07,0.007513075560119752,0.010683611984369162,176,3619560,4.862469471427466e-05,0.9719211822660098,0.26065165471874935,0.015142735752277092,2.0293847672206384,0.4167921462477685,arithmetic,29,2
280,0.9913206234303428,0.13146642750785006,0.0172834215616768,0.9723246287762417,0,3.2268519545297636e-07,0.006150947113317165,0.008790625194407783,1220,3619560,0.0003370575429057676,5.076133854255139,0.9140970479604179,0.012441266484893722,3.7212019375408496,0.4381116916129243,loose,29,0
280,0.9907232955960318,0.13589463404909569,0.01846735156333764,0.9768561187916026,0,6.902844917888729e-08,0.005936056608180235,0.008488629348105563,1098,3619560,0.00030335178861519077,5.23935790725327,0.8604464702030435,0.01172393166772835,3.735792285540476,0.4153920805420566,loose,29,1
280,0.9918622788110626,0.127315434538496,0.01620921987172606,0.9755504352278546,0,7.734500498957075e-07,0.006131358229271363,0.008757844476836451,966,3619560,0.0002668832675794848,5.101443859351113,0.9363921967782545,0.012328673797472985,3.7212019375408496,0.43529162654563663,loose,29,2
