q,signature,pencils,distinct_isogeny_multisets
13,19 17 16 16 14 14 13 11 11 10 10 9 9,10,10
13,19 17 16 16 14 14 14 12 12 11 9 8 7,2,2
13,19 17 16 16 15 13 12 11 11 11 10 10 8,14,14
13,19 17 16 16 15 14 14 12 10 10 10 9 7,3,3
13,19 17 16 16 15 14 14 13 13 9 9 8 6,3,3
13,19 17 16 16 15 15 13 13 12 11 8 8 6,6,6
13,19 17 16 16 15 15 14 12 11 11 10 7 6,3,3
13,19 17 16 16 15 15 14 14 11 10 10 8 4,2,2
13,19 17 16 16 15 15 14 14 13 12 8 5 5,2,2
13,19 17 16 16 16 14 14 13 12 11 9 8 4,2,2
13,19 17 16 16 16 16 14 12 12 11 10 6 4,3,3
13,19 17 17 14 13 13 12 12 12 12 11 11 6,12,12
13,19 17 17 14 14 13 13 12 12 11 11 8 8,5,5
13,19 17 17 15 14 13 13 12 11 10 10 10 8,8,8
13,19 17 17 15 15 14 14 13 12 10 10 7 6,7,7
13,19 17 17 16 14 14 13 13 12 12 9 7 6,3,3
13,19 17 17 16 15 14 13 12 12 10 10 9 5,5,5
13,19 17 17 16 16 13 13 13 12 10 8 8 7,6,6
13,19 17 17 16 16 14 13 12 11 10 10 7 7,11,11
13,19 17 17 16 16 15 14 12 12 9 8 8 6,5,5
13,19 18 14 14 14 13 13 12 12 11 10 10 9,24,24
13,19 18 15 14 13 13 13 12 11 11 11 10 9,8,8
13,19 18 16 14 13 13 13 12 12 12 11 9 7,5,5
13,19 18 16 14 14 13 13 13 11 11 10 9 8,7,7
13,19 18 16 14 14 14 13 12 11 10 10 10 8,7,7
13,19 18 16 15 14 13 12 12 12 12 11 10 5,9,9
13,19 18 16 15 14 14 13 13 12 10 10 8 7,5,5
13,19 18 16 15 14 14 14 13 13 11 9 7 6,3,3
13,19 18 16 15 14 14 14 14 12 11 10 9 3,2,2
13,19 18 16 15 15 15 14 12 11 11 9 8 6,3,3
13,19 18 16 16 14 13 13 12 11 11 10 10 6,7,7
13,19 18 16 16 14 14 14 13 12 11 11 7 4,2,2
13,19 18 16 16 15 13 12 12 12 11 9 8 8,4,4
13,19 18 16 16 15 13 13 12 12 11 11 8 5,2,2
13,19 18 16 16 15 15 13 12 11 10 9 9 6,6,6
13,19 18 16 16 16 14 14 13 11 10 9 8 5,2,2
13,19 18 16 16 16 14 14 13 12 10 7 7 7,3,3
13,19 18 17 14 14 12 12 12 12 11 10 10 8,12,12
13,19 18 17 15 13 12 12 12 11 11 11 10 8,8,8
13,19 18 17 15 14 13 13 12 12 11 9 9 7,8,8
13,19 18 17 15 14 13 13 13 12 12 10 8 5,2,2
13,19 18 17 15 14 14 12 12 12 10 10 9 7,2,2
13,19 18 17 15 14 14 14 14 13 12 11 6 2,2,2
13,19 18 17 15 15 14 14 11 11 11 10 8 6,4,4
13,19 18 17 16 14 13 12 12 11 11 10 8 8,5,5
13,19 18 17 16 14 14 14 14 12 9 9 7 6,3,3
13,19 18 17 16 15 14 13 12 12 10 10 9 4,3,3
13,19 18 17 16 15 14 14 12 12 11 8 7 6,10,10
13,19 18 17 16 15 14 14 14 12 10 8 8 4,2,2
13,19 18 17 16 15 15 12 12 11 9 9 8 8,2,2
13,19 18 17 16 15 15 13 10 10 10 10 9 7,4,4
13,19 18 17 16 15 15 13 12 12 11 11 6 4,2,2
13,19 18 17 16 16 14 14 13 10 9 8 8 7,6,6
13,19 18 17 16 16 16 14 12 10 10 8 7 6,2,2
13,19 18 17 17 14 14 13 11 11 10 10 8 7,8,8
13,19 18 17 17 16 14 13 13 12 9 8 8 5,2,2
13,19 18 17 17 17 16 15 11 10 10 8 7 4,2,2
13,19 18 18 16 14 12 12 11 11 10 10 9 9,7,7
13,19 18 18 16 15 14 13 12 10 10 10 9 5,3,3
13,19 18 18 16 16 15 12 11 10 10 9 8 7,7,7
13,19 18 18 17 14 13 12 12 12 12 9 7 6,2,2
13,19 18 18 17 14 14 13 13 12 11 8 7 5,3,3
13,19 18 18 17 15 12 11 11 11 10 10 10 7,3,3
13,19 18 18 17 16 14 12 12 12 11 9 8 3,2,2
13,19 18 18 17 17 12 12 11 10 10 9 8 8,4,4
13,19 19 15 15 15 15 12 12 10 10 9 9 9,2,2
13,19 19 16 14 13 13 12 12 12 11 10 9 9,10,10
13,19 19 16 15 15 14 13 12 12 12 10 8 4,3,3
13,19 19 16 16 14 14 13 13 13 10 10 6 6,5,5
13,19 19 16 16 15 15 13 13 12 11 8 8 4,2,2
13,19 19 17 14 14 13 13 11 11 11 11 8 8,4,4
13,19 19 17 15 15 12 12 11 11 10 10 9 9,3,3
13,19 19 18 16 14 14 13 12 10 10 9 9 6,2,2
13,19 19 18 17 14 13 12 12 12 12 9 7 5,3,3
13,19 19 18 18 15 15 13 11 11 8 8 7 7,2,2
13,20 15 15 15 14 14 13 13 12 11 11 10 6,8,8
13,20 16 15 14 14 14 13 12 12 12 11 10 6,6,6
13,20 16 15 15 15 14 13 12 12 12 10 10 5,4,4
13,20 16 16 14 14 13 13 13 13 11 9 9 8,9,9
13,20 16 16 14 14 14 14 13 12 12 10 8 6,12,12
13,20 16 16 15 15 15 13 13 12 11 10 8 5,4,4
13,20 16 16 16 15 14 14 13 12 12 11 8 2,3,3
13,20 16 16 16 16 13 13 11 11 10 10 10 7,4,4
13,20 16 16 16 16 14 14 12 12 9 9 8 7,3,3
13,20 16 16 16 16 15 13 12 12 11 9 9 4,5,5
13,20 17 15 14 14 13 13 13 12 11 10 10 7,18,18
13,20 17 15 14 14 14 13 13 13 12 10 8 6,2,2
13,20 17 15 15 14 14 14 12 12 11 10 9 6,2,2
13,20 17 16 14 14 13 12 12 12 12 10 9 8,15,15
13,20 17 16 15 13 13 12 12 12 11 11 9 8,4,4
13,20 17 16 15 15 14 13 12 11 10 10 8 8,18,18
13,20 17 16 16 14 13 13 12 12 11 9 8 8,15,15
13,20 17 16 16 14 14 12 12 11 11 10 9 7,9,9
13,20 17 16 16 15 14 14 12 10 10 10 9 6,2,2
13,20 17 16 16 15 15 14 12 12 10 9 8 5,3,3
13,20 17 17 15 15 14 12 12 11 11 10 10 5,4,4
