q,implementer,implemented,rate,contact_beta,closed_form
7,S,X,0.712414374216044,0,0.712414374216044
7,L,S,0.737350464962806,inf,0.737350464962806
7,L,L,1.000000000000000,0,
7,L,A,0.935784974019201,inf,0.935784974019201
7,L,X,0.758654412959299,inf,0.758654412959299
7,A,S,0.787948605111581,inf,0.787948605111581
7,A,L,0.988581224804591,0.3472,
7,A,A,1.000000000000000,0,
7,A,X,0.810714463281959,inf,0.810714463281959
7,X,S,0.898645342485930,3.5922,
7,X,L,0.995877617406041,0.4335,
7,X,A,0.997439400297770,1.4889,
7,X,X,1.000000000000000,0,
8,S,S,1.000000000000000,0,
8,S,L,0.666666666666667,0,0.666666666666667
8,S,A,0.666666666666667,0,0.666666666666667
8,S,X,0.666666666666667,0,0.666666666666667
8,L,S,0.750000000000000,inf,0.750000000000000
8,L,L,1.000000000000000,0,
8,L,A,0.946394630357186,inf,0.946394630357186
8,L,X,0.767874074429446,inf,0.767874074429446
8,A,S,0.792481250360578,inf,0.792481250360578
8,A,L,0.989952148898202,0.3421,
8,A,A,1.000000000000000,0,
8,A,X,0.811367742164426,inf,0.811367742164426
8,X,S,0.890312728270689,3.5765,
8,X,L,0.996609297070014,0.4347,
8,X,A,0.997714829771929,1.4889,
8,X,X,1.000000000000000,0,
9,S,S,1.000000000000000,0,
9,S,L,0.732486760358963,0,0.732486760358963
9,S,A,0.732486760358963,0,0.732486760358963
9,S,X,0.732486760358963,0,0.732486760358963
9,L,S,0.760187533431869,inf,0.760187533431869
9,L,L,1.000000000000000,0,
9,L,A,0.954242509439325,inf,0.954242509439325
9,L,X,0.775523870076980,inf,0.775523870076980
9,A,S,0.796639770196912,inf,0.796639770196912
9,A,L,0.991034225346445,0.3378,
9,A,A,1.000000000000000,0,
9,A,X,0.812711509291959,inf,0.812711509291959
9,X,S,0.899432420155637,3.7276,
9,X,L,0.997137991250940,0.4357,
9,X,A,0.997946573330516,1.4889,
9,X,X,1.000000000000000,0,
11,S,S,1.000000000000000,0,
11,S,L,0.747221736309214,0,0.747221736309214
11,S,A,0.747221736309214,0,0.747221736309214
11,S,X,0.747221736309214,0,0.747221736309214
11,L,S,0.775756175782425,inf,0.775756175782425
11,L,L,1.000000000000000,0,
11,L,A,0.964984045981344,inf,0.964984045981344
11,L,X,0.787609656965256,inf,0.787609656965256
11,A,S,0.803905700838315,inf,0.803905700838315
11,A,L,0.992632497789156,0.3306,
