curve_id,e_numerator,e_denominator,d_numerator,d_denominator,formula,point_count,n_values,in_minimum_cover
e_p53_84__d_p29_84,53,84,29,84,c_n = 53/84 - (29/84)/n,1,37,False
e_p53_84__d_p5_14,53,84,5,14,c_n = 53/84 - (5/14)/n,1,18,False
e_p53_84__d_p31_84,53,84,31,84,c_n = 53/84 - (31/84)/n,1,83,False
e_p53_84__d_p8_21,53,84,8,21,c_n = 53/84 - (8/21)/n,1,64,False
e_p53_84__d_p11_28,53,84,11,28,c_n = 53/84 - (11/28)/n,1,45,False
e_p53_84__d_p17_42,53,84,17,42,c_n = 53/84 - (17/42)/n,1,26,False
e_p53_84__d_p5_12,53,84,5,12,c_n = 53/84 - (5/12)/n,2,7 91,False
e_p53_84__d_p3_7,53,84,3,7,c_n = 53/84 - (3/7)/n,1,72,False
e_p53_84__d_p37_84,53,84,37,84,c_n = 53/84 - (37/84)/n,1,53,False
e_p53_84__d_p19_42,53,84,19,42,c_n = 53/84 - (19/42)/n,1,34,False
e_p53_84__d_p13_28,53,84,13,28,c_n = 53/84 - (13/28)/n,2,15 99,False
e_p53_84__d_p10_21,53,84,10,21,c_n = 53/84 - (10/21)/n,1,80,False
e_p53_84__d_p41_84,53,84,41,84,c_n = 53/84 - (41/84)/n,1,61,False
e_p53_84__d_p1_2,53,84,1,2,c_n = 53/84 - (1/2)/n,1,42,False
e_p53_84__d_p43_84,53,84,43,84,c_n = 53/84 - (43/84)/n,1,23,False
e_p53_84__d_p11_21,53,84,11,21,c_n = 53/84 - (11/21)/n,2,4 88,False
e_p53_84__d_p15_28,53,84,15,28,c_n = 53/84 - (15/28)/n,1,69,False
e_p53_84__d_p23_42,53,84,23,42,c_n = 53/84 - (23/42)/n,1,50,False
e_p53_84__d_p47_84,53,84,47,84,c_n = 53/84 - (47/84)/n,1,31,False
e_p53_84__d_p4_7,53,84,4,7,c_n = 53/84 - (4/7)/n,2,12 96,False
e_p53_84__d_p7_12,53,84,7,12,c_n = 53/84 - (7/12)/n,1,77,False
e_p53_84__d_p25_42,53,84,25,42,c_n = 53/84 - (25/42)/n,1,58,False
e_p53_84__d_p17_28,53,84,17,28,c_n = 53/84 - (17/28)/n,1,39,False
e_p53_84__d_p13_21,53,84,13,21,c_n = 53/84 - (13/21)/n,1,20,False
e_p53_84__d_p53_84,53,84,53,84,c_n = 53/84 - (53/84)/n,2,1 85,False
e_p53_84__d_p9_14,53,84,9,14,c_n = 53/84 - (9/14)/n,1,66,False
e_p53_84__d_p55_84,53,84,55,84,c_n = 53/84 - (55/84)/n,1,47,False
e_p53_84__d_p2_3,53,84,2,3,c_n = 53/84 - (2/3)/n,1,28,False
e_p53_84__d_p19_28,53,84,19,28,c_n = 53/84 - (19/28)/n,2,9 93,False
e_p53_84__d_p29_42,53,84,29,42,c_n = 53/84 - (29/42)/n,1,74,False
e_p53_84__d_p59_84,53,84,59,84,c_n = 53/84 - (59/84)/n,1,55,False
e_p53_84__d_p5_7,53,84,5,7,c_n = 53/84 - (5/7)/n,1,36,False
e_p53_84__d_p61_84,53,84,61,84,c_n = 53/84 - (61/84)/n,1,17,False
e_p53_84__d_p31_42,53,84,31,42,c_n = 53/84 - (31/42)/n,1,82,False
e_p53_84__d_p3_4,53,84,3,4,c_n = 53/84 - (3/4)/n,1,63,False
e_p53_84__d_p16_21,53,84,16,21,c_n = 53/84 - (16/21)/n,1,44,False
e_p53_84__d_p65_84,53,84,65,84,c_n = 53/84 - (65/84)/n,1,25,False
e_p53_84__d_p11_14,53,84,11,14,c_n = 53/84 - (11/14)/n,2,6 90,False
e_p53_84__d_p67_84,53,84,67,84,c_n = 53/84 - (67/84)/n,1,71,False
e_p53_84__d_p17_21,53,84,17,21,c_n = 53/84 - (17/21)/n,1,52,False
e_p53_84__d_p23_28,53,84,23,28,c_n = 53/84 - (23/28)/n,1,33,False
e_p53_84__d_p5_6,53,84,5,6,c_n = 53/84 - (5/6)/n,2,14 98,False
e_p53_84__d_p71_84,53,84,71,84,c_n = 53/84 - (71/84)/n,1,79,False
e_p53_84__d_p6_7,53,84,6,7,c_n = 53/84 - (6/7)/n,1,60,False
e_p53_84__d_p73_84,53,84,73,84,c_n = 53/84 - (73/84)/n,1,41,False
e_p53_84__d_p37_42,53,84,37,42,c_n = 53/84 - (37/42)/n,1,22,False
e_p53_84__d_p25_28,53,84,25,28,c_n = 53/84 - (25/28)/n,2,3 87,False
e_p53_84__d_p19_21,53,84,19,21,c_n = 53/84 - (19/21)/n,1,68,False
e_p53_84__d_p11_12,53,84,11,12,c_n = 53/84 - (11/12)/n,1,49,False
e_p53_84__d_p13_14,53,84,13,14,c_n = 53/84 - (13/14)/n,1,30,False
e_p53_84__d_p79_84,53,84,79,84,c_n = 53/84 - (79/84)/n,2,11 95,False
e_p53_84__d_p20_21,53,84,20,21,c_n = 53/84 - (20/21)/n,1,76,False
e_p53_84__d_p27_28,53,84,27,28,c_n = 53/84 - (27/28)/n,1,57,False
e_p53_84__d_p41_42,53,84,41,42,c_n = 53/84 - (41/42)/n,1,38,False
e_p53_84__d_p83_84,53,84,83,84,c_n = 53/84 - (83/84)/n,1,19,False
e_p53_84__d_p1_1,53,84,1,1,c_n = 53/84 - (1)/n,1,84,False
